pair_id,split,architecture,severity,gt_x,gt_y,raw_err,raw_rt,raw_score,dog_err,dog_rt,dog_score
p2_val-000000,p2_val,dram,3,641.2053,611.8421,221.79475620604742,3.4345420000026934,0.5784125924110413,0.25899903474723357,3.438698799989652,0.8538355231285095
p2_val-000001,p2_val,dram,3,168.4501,700.2652,319.04714811615224,3.3893624000193086,0.37933069467544556,319.9955976588584,3.625198299996555,0.5106843709945679
p2_val-000002,p2_val,dram,3,478.0304,850.7257,514.9145247171126,3.3863936999987345,0.44227689504623413,93.69476273863981,3.434389000001829,0.5186964869499207
p2_val-000004,p2_val,finfet,0,113.421,939.1489,675.8594618796203,3.3850418999791145,0.7208191752433777,0.44655594274403426,3.508776200003922,0.5475171208381653
p2_val-000005,p2_val,dram,0,870.6807,650.9463,402.0223073862693,3.619602799997665,0.5663498044013977,1.681557664785841,3.552067300013732,0.6315255761146545
p2_val-000006,p2_val,dram,2,419.785,381.9565,0.7862043309471392,3.479349100001855,0.663640558719635,0.21935644508422536,3.638405600009719,0.8815418481826782
p2_val-000007,p2_val,finfet,1,446.1232,673.8353,0.20568016433290814,3.5774832000024617,0.7781456112861633,183.16474143330646,3.797109900013311,0.9006574153900146
p2_val-000009,p2_val,dram,2,804.8902,479.8083,146.80834106047922,3.9944344999967143,0.7172447443008423,1.2024162881465168,3.4487517999950796,0.8524473309516907
p2_val-000010,p2_val,dram,1,526.4111,357.2093,236.56693050741478,3.3900544999924023,0.7480331063270569,221.67275477536705,3.4898132999951486,0.843389630317688
p2_val-000011,p2_val,finfet,3,319.2726,416.2765,672.021248148457,3.545670599996811,0.639648973941803,450.204573680688,3.6131007999938447,0.7715174555778503
p2_val-000012,p2_val,dram,1,297.8275,657.2721,328.68950484410055,3.6787295999820344,0.5593241453170776,145.06908214592113,3.756843100010883,0.7386776804924011
p2_val-000014,p2_val,finfet,2,271.9628,831.0197,35.483318220397656,3.9484030999883544,0.6761904954910278,0.695896493740237,3.851945700007491,0.7819613218307495
p2_val-000015,p2_val,finfet,3,633.103,545.204,0.22852789764046322,3.982715999998618,0.6452136635780334,478.4619840959154,4.293748099997174,0.8215023875236511
p2_val-000016,p2_val,dram,0,814.6021,690.7996,358.48143757323055,4.34134620000259,0.6594258546829224,442.79977877655955,4.082451299997047,0.7855975031852722
p2_val-000018,p2_val,dram,0,196.0018,785.1194,0.1194135670684446,3.639984999987064,0.8434426784515381,0.1194135670684446,3.557749400002649,0.9212275147438049
p2_val-000020,p2_val,finfet,1,382.1083,505.7225,367.95311513172436,3.500811700010672,0.6580672860145569,437.2724849966437,3.4735523000126705,0.5915366411209106
p2_val-000021,p2_val,finfet,2,310.4814,259.9315,333.0688478951611,3.5893839999916963,0.7144581079483032,296.06889137194065,3.8345361000101548,0.8811140656471252
p2_val-000023,p2_val,dram,1,846.9049,223.4012,522.8239388220952,3.93403699999908,0.7868296504020691,522.8239388220952,3.8139974999940023,0.8117272257804871
p2_val-000024,p2_val,dram,1,567.0951,514.9039,0.7192212594188384,3.7423262000083923,0.8479596972465515,0.7192212594188384,3.8314279000042006,0.8901681303977966
p2_val-000025,p2_val,dram,0,442.8735,542.6103,221.11061545828147,3.738915199995972,0.6836817264556885,0.6232722839979883,3.7583802999870386,0.8318949341773987
p2_val-000026,p2_val,finfet,2,145.2916,936.3252,0.43679010977812915,3.6144823000067845,0.7999327182769775,0.43679010977812915,3.535516700008884,0.9077890515327454
p2_val-000028,p2_val,finfet,1,369.2564,860.2919,0.38851842942133974,3.507853500021156,0.6766825318336487,0.38851842942133974,3.6425464000203647,0.8112227320671082
p2_val-000030,p2_val,finfet,2,684.7188,712.5396,57.529378943284314,3.4547281000122894,0.7369791865348816,149.52249276145707,3.509219799976563,0.8532558083534241
p2_val-000032,p2_val,dram,0,572.1319,121.6241,518.3853609993438,3.6491333000012673,0.8326970338821411,184.37937438450103,4.074380900012329,0.9011765122413635
p2_val-000033,p2_val,finfet,1,221.6635,72.74,738.4360668549783,3.4649330000102054,0.7939313054084778,0.9938975047760162,3.4616500999836717,0.7836840748786926
p2_val-000035,p2_val,finfet,3,705.4893,701.1242,370.1406471061102,3.48952050000662,0.7158571481704712,370.1406471061102,3.523222799994983,0.8528484106063843
p2_val-000036,p2_val,finfet,0,299.0054,898.5527,649.9962113016121,3.580322099995101,0.8360892534255981,0.552726378961557,3.4554382999776863,0.8982678651809692
p2_val-000037,p2_val,dram,0,398.4128,366.0093,216.0924709246715,3.4149411999969743,0.7077010273933411,216.0878001885576,3.478897600027267,0.922771155834198
p2_val-000038,p2_val,dram,1,898.8349,856.2471,187.83903991561493,3.398338600003626,0.7503423690795898,187.83903991561493,3.557403999991948,0.9108138680458069
p2_val-000039,p2_val,finfet,1,414.8372,509.4198,584.3397873976065,3.4241164999839384,0.7271499633789062,456.7499135587001,3.4497996999998577,0.7863817811012268
p2_val-000040,p2_val,finfet,2,444.2215,305.3758,763.322972658291,3.419376099976944,0.719139814376831,0.7321119381624518,3.537203400017461,0.8869114518165588
p2_val-000042,p2_val,dram,2,367.0312,146.2793,525.1148933156724,3.429055899992818,0.37322840094566345,371.75430916390195,3.4430248999851756,0.4402084946632385
p2_val-000043,p2_val,finfet,2,251.0032,444.7682,71.33803572765373,3.379153799993219,0.6451428532600403,505.9304273726576,3.420855100004701,0.5906086564064026
p2_val-000044,p2_val,dram,3,679.3089,160.2851,806.5367654987712,3.4119583000137936,0.6598016023635864,490.5006787979197,3.4411877999955323,0.8882913589477539
p2_val-000045,p2_val,dram,0,196.5912,913.4872,742.9936304446223,3.4074574999976903,0.8442954421043396,0.0920938651593946,3.489621000015177,0.9050648808479309
p2_val-000046,p2_val,finfet,1,577.2761,88.8052,596.7303585190299,3.33742299998994,0.7139877676963806,588.1992038232031,3.503670999984024,0.7616122364997864
p2_val-000047,p2_val,dram,1,481.451,678.9664,0.4522498866777285,3.39541059997282,0.8462445735931396,303.21105674094406,3.546823200013023,0.9282450675964355
p2_val-000049,p2_val,dram,2,642.318,577.3126,617.5724728667559,3.4157737999921665,0.7390786409378052,214.68310050574547,3.4371659999887925,0.8454691171646118
p2_val-000050,p2_val,finfet,1,316.5646,403.9989,0.5646010715540509,3.42831479999586,0.7712283134460449,0.5646010715540509,3.4249068000062834,0.8518020510673523
p2_val-000052,p2_val,dram,0,833.2869,615.9011,0.9456705663179145,3.43856660000165,0.850698709487915,0.9456705663179145,3.5914078000059817,0.913096010684967
p2_val-000053,p2_val,finfet,3,559.8448,793.1957,90.19965623842475,3.400448000000324,0.6927603483200073,465.8598471488287,3.4615282000158913,0.8785762190818787
p2_val-000054,p2_val,finfet,2,139.0517,472.1071,639.9154215545208,3.443891100003384,0.5869507193565369,720.4063179507103,3.535226200008765,0.6372688412666321
p2_val-000056,p2_val,finfet,1,894.9773,170.8887,769.1113003349906,3.525509500002954,0.8679399490356445,0.11359128487696299,3.479895399999805,0.9078391194343567
p2_val-000057,p2_val,finfet,0,887.5882,106.5235,628.1295977992837,3.4414050999912433,0.8849270343780518,972.9712885956553,3.6794816000037827,0.9424036741256714
p2_val-000059,p2_val,finfet,3,466.9644,424.0479,323.27166495344125,3.5367494999954943,0.5983805656433105,422.73121160114266,3.85794519999763,0.4349847435951233
p2_val-000060,p2_val,dram,0,703.9969,645.5905,531.5214070005647,3.511853300005896,0.7297917008399963,231.70464669457968,3.4939605000254232,0.6868849396705627
p2_val-000061,p2_val,dram,0,522.6545,175.7049,0.2566208487243369,3.394256300001871,0.6520282626152039,0.2566208487243369,3.417531900020549,0.858469545841217
p2_val-000062,p2_val,finfet,1,678.9746,461.3309,0.33187342466667913,3.3969622000004165,0.737777054309845,445.6691007238106,3.5434974000090733,0.8475502729415894
p2_val-000063,p2_val,dram,1,497.6603,540.7714,45.34626174283829,3.369661000004271,0.7876115441322327,224.77753191555865,3.504693299997598,0.931426465511322
p2_val-000064,p2_val,finfet,1,207.5126,675.2021,0.5510019691434694,3.4106828000221867,0.7064074277877808,0.5276392422858605,3.4371056999953,0.8358684778213501
p2_val-000065,p2_val,finfet,1,883.3037,558.2599,876.78519671679,3.465779799997108,0.6003342270851135,685.6031102479773,3.5556499999947846,0.5807161927223206
p2_val-000066,p2_val,finfet,1,903.298,320.4683,0.5550755714314948,3.5447869999916293,0.8248986005783081,447.53225057965375,3.4370408999966457,0.9212616682052612
p2_val-000067,p2_val,finfet,0,894.0854,664.3604,670.8942190698323,3.5645527000015136,0.4682249426841736,515.8883979906119,3.5012332999904174,0.4905232787132263
p2_val-000068,p2_val,dram,0,296.9337,936.1352,960.3601203583634,3.4570335999887902,0.6067155003547668,185.01787852726562,3.4833096000074875,0.6193274855613708
p2_val-000069,p2_val,finfet,1,366.4861,699.0396,494.7862967598941,3.410598000016762,0.7906410694122314,471.98307454968125,3.4885342000052333,0.8501025438308716
p2_val-000070,p2_val,finfet,3,358.4733,187.6384,838.0001435963183,3.453906899987487,0.2712264657020569,86.18160979843671,3.4789416999847163,0.4722037613391876
p2_val-000072,p2_val,dram,1,98.4128,800.6958,671.1003164516314,3.42172230000142,0.5173011422157288,0.21433963702494396,3.4436412999930326,0.6319669485092163
p2_val-000073,p2_val,finfet,0,774.6677,857.5721,1030.1035666969121,3.40109869997832,0.84459388256073,1030.1035666969121,3.475297600001795,0.8764070868492126
p2_val-000074,p2_val,dram,0,717.5856,515.5527,311.3400350174227,3.437109499995131,0.796845555305481,694.0513590539608,3.451229300000705,0.7293033599853516
p2_val-000075,p2_val,finfet,3,777.9299,530.1079,217.92992671136284,3.5247109000047203,0.7492031455039978,1.0755261131186205,3.4381477999850176,0.687343418598175
p2_val-000076,p2_val,finfet,2,66.2838,888.2391,841.3678089345052,3.347677499987185,0.45510542392730713,941.3429119673924,3.5385616999992635,0.5355766415596008
p2_val-000078,p2_val,dram,2,177.8022,760.6585,0.6875660622805675,3.4349387000256684,0.6698246598243713,0.6875660622805675,3.476109400013229,0.8000359535217285
p2_val-000079,p2_val,finfet,3,674.1948,535.0658,469.0693772531735,3.3786441999836825,0.629538893699646,373.9342507402605,3.4627325999899767,0.8124926686286926
p2_val-000080,p2_val,dram,1,535.0577,670.455,306.37603358338913,3.436857000022428,0.7293223738670349,310.4072256798961,3.4995208000182174,0.5945115089416504
p2_val-000081,p2_val,dram,0,404.3978,951.6007,280.39808431109157,3.544338499981677,0.7464735507965088,391.6024035745056,3.5426577999896836,0.7358152270317078
p2_val-000082,p2_val,dram,2,113.6844,234.9513,389.4918649664586,3.458581300015794,0.5842445492744446,0.48751928166996816,3.4567762999795377,0.605311930179596
p2_val-000083,p2_val,dram,1,138.3733,222.8936,1035.0803510229773,3.4520941999799106,0.8903239965438843,974.7005579529797,3.4449518999899738,0.9499905705451965
p2_val-000084,p2_val,dram,0,931.4908,686.2186,678.0717697048005,3.3718009000003804,0.6571497321128845,351.7498202850998,3.4206309000146575,0.5828502774238586
p2_val-000085,p2_val,finfet,1,583.935,78.1173,470.80757277712723,3.4369182999944314,0.6620477437973022,323.8375277578095,3.474656500009587,0.5628470778465271
p2_val-000086,p2_val,finfet,2,506.5451,183.7513,248.04622993647777,3.458977100002812,0.6951383948326111,0.25531490359944187,3.468314099998679,0.7789120674133301
p2_val-000087,p2_val,dram,2,203.3343,873.6469,425.497650564724,3.3722188999818172,0.7585577964782715,467.90829596845145,3.463255599985132,0.9143253564834595
p2_val-000088,p2_val,dram,2,500.866,724.9395,362.1340050537232,3.394323499989696,0.6798537373542786,1.2777387252485877,3.717587999999523,0.7679520845413208
p2_val-000089,p2_val,dram,0,923.0216,660.4461,698.6587317652088,3.579471199976979,0.8246049880981445,202.4461011523067,3.7252864000038244,0.9211109280586243
